id_ciudad ;nombre_ciudad ;id_pais
1;ZURICH;44
2;ZAPATOCA;1
3;ZAGREB;70
4;YOPAL;1
5;YAGUARA;1
6;WISCONSIN;2
7;WINNIPEG;43
8;WEST PALM BECH;2
9;WASHINGTON;2
10;WARSAW;69
11;VITORIA;34
12;VIRU VIRU;7
13;VILLAVICENCIO;1
14;VILLANUEVA - CASANARE;1
15;VILLA HERMOSA;6
16;VILLA GARZON;1
17;VIGO;12
18;VIGIA DEL FUERTE;1
19;VIEUX FORT QUARTER;42
20;VIENNA;68
21;VERMONT;2
22;VENECIA;4
23;VANCOUVER;43
24;VALLEDUPAR;1
25;VALENCIA;12
26;VALDOSTA;2
27;URRAO;1
28;TUMACO;1
29;TUCUMAN;19
30;TRINIDAD;1
31;TREVERSE CITY;2
32;TRELEW;19
33;TOULOUSE;15
34;TOULON;15
35;TORREON;6
36;TORONTO;43
37;TOLUCA;6
38;TOLU;1
39;TOKIO;30
40;TIMBIQUI;1
41;TIGUANA;6
42;TEXAS;2
43;TENERIFE;12
44;TEL AVIV;41
45;TARAIRA;1
46;TAMPICO;6
47;TAMPA;2
48;TAME;1
49;TAIPEI;87
50;SYRACUSE;2
51;SYDNEY;40
52;STOK FALLS;2
53;ST. JOHN'S;10
54;SPRINGFIELD;2
55;SOUTHAMTON;26
56;SOLANO;1
57;SOLA;63
58;SHERPORT;2
59;SHANWIK;26
60;SHANGHAI;65
61;SEVILLA;12
62;SEATTLE;2
63;SCHKEUDITZ;21
64;SAUL STE;2
65;SARAVENA;1
66;SAO PAULO;34
67;SANTO DOMINGO;32
68;SANTIAGO DE LOS CABALLEROS;32
69;SANTIAGO;36
70;SANTA ROSALIA;1
71;SANTA ROSA DEL SUR;1
72;SANTA RITA DE ITUANGO;1
73;SANTA MARTA;1
74;SANTA FE;19
75;SANTA BARBARA - NARINO;1
76;SANTA ANA;2
77;SAN VICENTE DEL CAGUAN;1
78;SAN SALVADOR;79
79;SAN PEDRO SULA;35
80;SAN MARTIN;11
81;SAN LUIS DE PALENQUE;1
82;SAN LUIS;19
83;SAN JUAN;38
84;SAN JOSE DEL GUAVIARE;1
85;SAN JOSE DEL CABO;6
86;SAN JOSE;37
87;SAN GIL;1
88;SAN FRANCISCO;2
89;SAN FELIPE;1
90;SAN DIEGO;2
91;SAN CRISTOBAL;32
92;SAN CARLOS DE GUAROA;1
93;SAN ANTONIO;2
94;SAN ANDRES - ISLA;1
95;SAMANA;32
96;SALTA;19
97;SALT LAKE;2
98;SALONICA;84
99;SALDA\A;1
100;SAINT LOUIS;2
101;SAINT KITTS;39
102;SAGINAW;2
103;SACRAMENTO;2
104;RUSIA;89
105;ROSARIO;19
106;ROMA;4
107;ROCHETER;2
108;ROANOKE;2
109;RIYADH;86
110;RIONEGRO - ANTIOQUIA;1
111;RIONEGRO;1
112;RIOHACHA;1
113;RIO GRANDE;19
114;RIO DE JANEIRO;34
115;RIGA;67
116;RICHMOND;2
117;RESISTENCIA;19
118;RENO;2
119;REMEDIOS;1
120;RECIFE;34
121;RALEIGH;2
122;QUITO;9
