id_aeropuerto;nombre_aeropuerto;id_ciudad
ZRH;ZURICH;1
ZPS;ZAPATOCA;2
ZAG;ZAGREB-PLESO;3
DEL;DELICIAS;4
LFT;LA FLORESTA;5
MKE;GENERAL MITCHELL INTL;6
ATW;" 	APPLETON INTL.";6
YWG;JAMES ARMSTRONG RICHARDSON;7
PBI;PALM BEACH INTL;8
IAD;DULLES INTL D.C.;9
BLI;BELLINGHAM INTL;9
DCA;" 	RONALD REAGAN NATIONAL";9
PSC;TRI-CITIES AIRPORT ;9
WAW;FEDERIC CHOPN;10
VIX;GOIABEIRAS. ES;11
VVI;VIRU VIRU INTL;12
VVC;VANGUARDIA;13
VVN;NEIVA YORK - MILENA;13
CHO;CHICAMOCHA;13
VLA;AERODROMO DE VILLANUEVA CAPITAN RAF;14
VSA;VILLAHERMOSA;15
VGP;VILLA GARZON;16
VGO;VIGO;17
VDF;VIGIA DEL FUERTE;18
UVF;HEWANORRA INTERNATIONAL AIRPORT;19
VIE;VIENNA INTERNATIONAL AIRPORT;20
BTV;BURLINGTON INTL;21
YVR;VANCOUVER INTERNATIONAL;23
VUP;ALFONSO LOPEZ PUMAREJO.;24
VLC;VALENCIA;25
VLN;ARTURO MICHELENA INTL;25
VLD;VALDOSTA REGIONAL;26
URR;URRAO;27
TCO;TUMACO - LA FLORIDA;28
TUC;TUCUMAN/TENENT MATIENZOT;29
TDA;TRINIDAD;30
9CU;COROCORA;30
TRD;PALMARITO 2;30
TRI;LOS TOROS;30
NUE;NUEVO MUNDO;30
TVC;CHERRY CAPITAL;31
REL;TRELEW;32
TLS;BLAGNAC;33
XZN;AIRPORT CODE AVIGNON;34
TRC;TORREON / INTL;35
YYZ;LESTER B PEARSON INTL;36
TLC;LICENCIADO ADOLFO LOPEZ MATEOS INTL;37
TLU;TOLU;38
NRT;NARITA;39
TBQ;TIMBIQUI;40
TIJ;ABELARDO L. RODRIGUEZ / INTL;41
AUS;AUSTIN/ROBERT/MUELLER MUNICIPA;42
LRD;LADERO/INTL;42
MAF;MIDLAND INTL;42
MFE;MCLLEN/MILLER INT;42
CLL;EASTERWOOD AIRPORT;42
GGG;EAST TEXAS REGIONAL AIRPORT;42
BRO;SOUTH PADRE IS.INTERNATIONAL.T;42
TFN;NORTE LOS RODEOS;43
TLV;BEN GURION;44
VCE;TESSERA;44
TAR;TARAIRA;45
TAM;FRANCISCO JAVIER MINA / INTL;46
TPA;TAMPA INTL;47
TME;TAME;48
TPE;CHIANG KAI SHEK;49
SYR;SYRACUSE INTER;50
SYD;KINGSFORD SMITH;51
FSD;JOE FOOS;52
ANU;ANTIGUA  LEEWARDS V.C.BIRD,;53
SGF;SPRINGFIELD BRANSON NATL;54
SOU;SOUTHAMPTON;55
ACR;ARARACUARA;56
SVG;AEROPUERTO DE STAVANGER-SOLA;57
SHV;SHREPORT REGIONAL;58
LGW;GATWICK;59
PVG;PU DONG;60
SVQ;SAN PABLO;61
SEA;SEATTLE;62
LEJ;LEIPZIG/HALLE AIRPORT;63
CID;CHIPPEWA CO INTL;64
RVE;SARAVENA-COLONIZADORES;65
GRU;GUARULHOS;66
CPQ;VIRACOPOS;66
FLN;HERCILIO LUZ;66
SDQ;LAS AMERICAS;67
STI;CIBAO INTERNATIONAL;68
SCL;ARTURO MERINO BENITEZ INTL;69
SRO;SANTA ROSALIA;70
A04;SANTA ROSA DEL SUR;71
STR;SANTA RITA DE ITUANGO;72
SMR;SIMON BOLIVAR;73
SFN;SANTA FE;74
SBN;SANTA BARBARA - ISCUANDE;75
SNA;JOHN WAYNE;76
SVI;SAN VICENTE DEL CAGUAN;77
VAR;VARSOVIA;77
SAL;EL SALVADOR INTL;78
SAP;LA MESA;79
SXM;PRINCESS JULIANA INTL;80
SIN;LA CEIBA - META;80
CAA;CAÑO GANDUL;81
LUQ;SAN LUIS;82
SJU;LUIS MUNOZ MARIN INTL;83
UAQ;SAN JUAN AERODROME;83
SJE;SAN JOSE DEL GUAVIARE- JORGE E GONZ;84
A07;MORICHAL VIEJO;84
TPI;TOMACHIPAN;84
SJD;SAN JOSE DEL CABO / INTL;85
SJO;JUAN SANTAMARIA INTL;86
SGL;SAN GIL - LOS POZOS;87
SFO;SAN FRANCISCO / INTL, CA.;88
9DI;SAN FELIPE;89
SAN;LINDBERGH FIELD;90
DLM;SAN CRISTOBAL LOS MONTONES;91
SNU;SAN MIGUEL - META;92
SAT;SAN ANTONIO / INTL, TX.;93
ADZ;SAN ANDRES-GUSTAVO ROJAS PINILLA;94
GUA;LA AURORA;94
DAB;ARROYO BARRIL;95
SLA;SALTA, S.;96
SLC;SALT LAKE CITY INTL.;97
SKG;AEROPUERTO INTERNACIONAL MACEDONIA;98
LOS;LOS MANGOS;99
STL;ST. LOUIS;100
SKB;GOLDEN ROCK;101
MBS;MBS INTL;102
SMF;SACRAMENTO;103
MRV;MINERALNYE VODY AIRPORT;104
ROS;ROSARIO SF;105
LIR;ROMA CIAMPINO AIRPORT;106
FCO;FIUMIFINO;106
ROC;MONREO CONUTRY;107
ROA;ROANOKE MUNICIPAL;108
RUH;KING KHA LED;109
MDE;RIONEGRO - JOSE M. CORDOVA;110
ETO;EL TORNILLO;111
ELM;EL MARNE;111
RCH;ALMIRANTE PADILLA;112
RGA;HERMES QUIJADA;113
GIG;RIO DE JANEIRO - GALEAO;114
RIX;RIGA INTER;115
RIC;INTER RICHMOND;116
RES;RESISTENCIA - CHO;117
RNO;RENO INTER;118
OTU;REMEDIOS OTU;119
REC;GUARARAPES/PERMAMBUCO;120
RDU;DURHAM, NC.;121
UIO;AEROPUERTO INTERNACIONAL MARISCAL S;122
UIB;QUIBDO - EL CARAÑO;123
YQB;QUEBEC;124
DOH;DOHA;125
PDP;PUNTA DEL ESTE;126
GES;GUARANI;126
PUJ;PUNTA CANA INTL;127
PVR;GUSTAVO DIAZ ORDAZ INTERNATIONAL AIRPORT;128
PAP;PORT AU PRINCE INTL;129
POP;PUERTO PLATA;130
PLS;TOBASIA;131
LQM;PUERTO LEGUIZAMO;132
IDA;CESAR GAVIRIA TRUJILLO;133
A09;PUNTA TIGRE;133
PID;PUERTO INIRIDA;133
PGT;MORELIA;134
PGM;PUERTO GAITAN;134
9LQ;LA PONDEROSA;134
7NS;JAGUAR;134
7NT;OCELOTE;134
POS;PIARCO;135
PCE;CUMARIBO;136
PCR;GERMAN OLANO;136
