Id_empresa;sigla_empresa;nombre_empresa
1;VOC;VOLARIS COSTA RICA
2;UPS;UNITED PARCEL SERVICE CO. SUCURSAL COLOMBIA
3;UAL;UNITED AIR LINES INC
4;THY;TURKISH AIRLINES INC
5;TPA;TAMPA CARGO S.A.S
6;TAM;TAM
7;1EQ;TAERCO
8;TAI;TACA INTERNATIONAL
9;1FC;TAC
10;NKS;SPIRIT AIRLINES
11;1GS;SOLAIR S.A.S
12;KYE;SKY LEASE
13;SKU;SKY AIRLINE
14;NSE;SERVICIO AEREO A TERRITORIOS NACIONALES SATENA
15;1EH;SEARCA S.A.
16;1EG;SAVIARE LTDA
17;1ED;SARPA S.A.S
18;1DY;SAER
19;0EC;SAE
20;1HH;SADOS SAS
21;1DS;RIO SUR
22;QTR;QATAR
23;PUE;PLUS ULTRA 
24;1GR;PACIFICA DE AVIACION S.A.S
25;1CP;NATIV AIR
26;3CA;MOON FLIGHTS 
27;MAA;MAS AIR
28;MPH;MARTINAIR
29;DLH;LUFTHANSA
30;LAE;LÍNEA AÉREA CARGUERA DE COLOMBIA S.A.
31;LAN;LATAM AIRLINES GROUP S.A SUCURSAL COLOMBIA
32;LNE;LATAM AIRLINES ECUADOR
33;LER;LASER AIRLINES
34;1DF;LANS S.A.S
35;LPE;LAN PERU
36;LCO;LADECO
37;LRC;LACSA
38;KLM;KLM
39;JAP;JETSMART PERU
40;JAT;JETSMART
41;JBU;JETBLUE AIRWAYS CORPORATION
42;JRC;JETAIR CARIBBEAN B.V. SUCURSAL
43;1BC;INTEREJECUTIVA
44;IBE;IBERIA
45;HTS;HELISAS S.A.S
46;1GB;HELIGOLFO S.A.S
47;1FZ;HELI JET SAS
48;0ED;GOOD FLY CO SAS
49;EDR;FLY ALWAYS
50;FDX;FEDERAL EXPRESS CORPORATION
51;EZR;EZ AIR
52;ETH;ETHIPIAN AIRLINES
53;EDW;EDELWEISS
54;EFY;EASYFLY S.A
55;DAE;DHL AERO EXPRESO
56;DAL;DELTA
57;CMP;COPA
58;1CG;AVIOCESAR
59;GUG;AVIATECA
60;1HE;AVIANLINE CHARTE´S S.A.S.
61;AVR;AVIANCA EXPRESS
62;AVA;AVIANCA
63;GTI;ATLAS
64;1BT;ARO S.A.S.
65;DWI;ARAJET SUCURSAL COLOMBIA
66;AJT;AMERIJET
67;AAL;AMERICAN
68;1GU;AMERICA´S AIR SAS
69;1BB;ALLAS S.A.S
70;6AF;ALIANSA
71;ARE;AIRES
72;ATN;AIR TRANSPORT INTERNATIONAL (TULSA,OK)
73;TSC;AIR TRANSAT
74;AFR;AIR FRANCE
75;AEA;AIR EUROPA
76;ACA;AIR CANADA
77;1BE;AERUPIA SAS
78;TNO;AEROUNION
79;KRE;AEROSUCRE
80;RPB;AEROREPUBLICA
81;1GZ;AEROPACA SAS
82;AMX;AEROMEXICO SUCURSAL COLOMBIA
83;1AS;AEROMENEGUA
84;1BR;AEROLINEAS LLANERAS ARALL LTDA.
85;ARG;AEROLINEAS ARGENTINAS
86;GLG;AEROGAL
87;1GK;AEROESTAR LTDA
88;VIV;AEROENLACES NACIONALES S.A.
89;1HF;AERO LLANOS DEL ORIENTE SAS
90;ACL;AER CARIBE S.A.
91;ABX;ABX AIR INC  SUCURSAL COLOMBIANA
92;LTG;ABSA
93;VOI; VUELA COMPAÑÍA DE AVIACION S.A.P.I DE C.V SUCURSA
