ID_vuelo;Id_empresa;Tráfico (N/I);Tipo Vuelo;Pasajeros;Carga + Correo (Kg)
1;1;I;R;903;0
2;1;I;R;18;0
3;1;I;R;1260;0
4;1;I;R;51;0
5;1;I;R;3;0
6;1;I;R;44;0
7;2;I;R;0;1003576
8;2;I;R;0;1696434
9;3;I;R;9;0
10;3;I;R;269;0
11;3;I;R;153;0
12;3;I;R;63;0
13;3;I;R;173;0
14;3;I;R;3;0
15;3;I;R;6;0
16;3;I;R;1;0
17;3;I;R;42;0
18;3;I;R;6;0
19;3;I;R;17;0
20;3;I;R;2;0
21;3;I;R;3702;301
22;3;I;R;5;0
23;3;I;R;77;0
24;3;I;R;20;0
25;3;I;R;3;0
26;3;I;R;5;0
27;3;I;R;2;0
28;3;I;R;1;0
29;3;I;R;14;0
30;3;I;R;2;0
31;3;I;R;2;0
32;3;I;R;6846;2661
33;3;I;R;1;0
34;3;I;R;4;0
35;3;I;R;1;0
36;3;I;R;3;0
37;3;I;R;3;0
38;3;I;R;10;0
39;3;I;R;1;0
40;3;I;R;237;0
41;3;I;R;2;0
42;3;I;R;3;0
43;3;I;R;22;308
44;3;I;R;3;0
45;3;I;R;140;0
46;3;I;R;2;0
47;3;I;R;4;0
48;3;I;R;1;0
49;3;I;R;23;0
50;3;I;R;31;0
51;3;I;R;2;0
52;3;I;R;66;0
53;3;I;R;303;0
54;3;I;R;214;0
55;3;I;R;165;0
56;3;I;R;0;33
57;3;N;R;4;0
58;3;N;R;12;0
59;3;I;R;1;0
60;3;I;R;7;0
61;3;I;R;2;0
62;3;I;R;3;0
63;3;I;R;5;0
64;3;I;R;3464;2440
65;3;I;R;39;24
66;3;I;R;7434;8627
67;3;I;R;0;221
68;3;I;R;1;0
69;3;I;R;6;0
70;3;I;R;8;5312
71;3;I;R;0;152
72;3;I;R;4;0
73;3;I;R;4;0
74;3;I;R;107;7444
75;3;I;R;3;0
76;3;I;R;3;0
77;3;I;R;1;0
78;3;I;R;10;0
79;3;I;R;4;0
80;3;I;R;19;0
81;3;I;R;2;0
82;3;I;R;2;0
83;3;I;R;11;0
84;3;I;R;2;0
85;3;I;R;7;0
86;3;I;R;5;0
87;3;I;R;0;372
88;3;N;R;3;0
89;3;I;R;17;0
90;3;I;R;4;0
91;4;I;R;4;0
92;4;I;R;25;0
93;4;N;R;28;0
94;4;I;R;24;0
95;4;I;R;54;0
96;4;I;R;21;0
97;4;N;R;6;0
98;4;I;R;3;0
99;4;I;R;7;0
100;4;I;R;98;0
101;4;I;R;3;0
102;4;N;R;5;0
103;4;N;R;7;0
104;4;N;R;51;0
105;4;I;R;1;0
106;4;N;R;3;0
107;4;I;R;86;0
108;4;I;R;15;0
109;4;I;R;4;0
110;4;I;R;73;0
111;4;I;R;17;0
112;4;I;R;2;0
113;4;I;R;14;0
114;4;N;R;1;0
115;4;I;R;1;0
116;4;N;R;91;0
117;4;I;R;2;0
118;4;I;R;10;0
119;4;I;R;6;0
120;4;I;R;31;0
121;4;I;R;109;0
122;4;I;R;62;0
123;4;I;R;1;0
124;4;I;R;2;0
125;4;I;R;106;0
126;4;I;R;56;0
127;4;I;R;2;0
128;4;I;R;16;0
129;4;I;R;2;0
130;4;I;R;19;0
131;4;I;R;16;0
132;4;I;R;25;0
133;4;I;R;22;0
134;4;I;R;20;0
135;4;I;R;33;0
136;4;I;R;78;0
137;4;I;R;3;0
138;4;I;R;8;0
139;4;I;R;8;0
140;4;I;R;32;0
141;4;I;C;0;93220
142;4;I;R;3112;303947
143;4;I;R;6;0
144;4;I;R;277;0
145;4;I;R;28;0
146;4;I;R;6;0
147;4;I;R;3;0
148;4;I;R;201;0
149;4;N;R;2;0
150;4;I;R;210;0
151;4;I;R;34;0
152;4;I;R;14;0
153;4;I;R;7;0
154;4;I;R;1;0
155;4;I;R;21;0
156;4;I;R;7;0
157;4;I;R;17;0
158;4;I;R;1;0
159;4;I;R;7;0
160;4;I;R;10;0
161;4;I;R;10;0
162;4;I;R;1;0
163;4;I;R;70;0
164;4;I;R;10;0
165;4;I;R;3;0
166;4;I;R;40;0
167;4;I;R;88;0
168;4;N;R;64;0
169;4;N;R;77;0
170;4;N;R;2;0
171;4;N;R;64;0
172;4;N;R;1;0
173;4;N;R;1;0
174;4;N;R;1;0
